id,mine_id,commodity_name
218,chuquicamata,Copper
219,radomiro-tomic,Copper
220,ministro-hales,Copper
221,el-teniente,Copper
222,andina,Copper
223,quebrada-blanca-phase-2,Copper
224,los-pelambres,Copper
225,centinela,Copper
226,zaldívar,Copper
227,sierra-gorda,Copper
228,caserones,Copper
229,las-bambas,Copper
230,antapaccay,Copper
231,constancia,Copper
232,toromocho,Copper
233,cobre-panama,Copper
234,kansanshi,Copper
235,sentinel,Copper
236,lumwana,Copper
237,tenke-fungurume,Copper
238,salobo,Copper
239,sossego,Copper
240,highland-valley-copper,Copper
241,red-chris,Copper
242,mount-milligan,Copper
243,copper-mountain,Copper
244,aktogay,Copper
245,bozshakol,Copper
246,dexing,Copper
247,northparkes,Copper
