id,name,location,stage,lat,lng
chuquicamata,Chuquicamata,"Antofagasta, Chile",Production,,
radomiro-tomic,Radomiro Tomic,"Antofagasta, Chile",Production,,
ministro-hales,Ministro Hales,"Antofagasta, Chile",Production,,
el-teniente,El Teniente,"O'Higgins, Chile",Production,,
andina,Andina,"Valparaíso, Chile",Production,,
quebrada-blanca-phase-2,Quebrada Blanca (QB2),"Tarapacá, Chile",Production,,
los-pelambres,Los Pelambres,"Coquimbo, Chile",Production,,
centinela,Centinela,"Antofagasta, Chile",Production,,
zaldívar,Zaldívar,"Antofagasta, Chile",Production,,
sierra-gorda,Sierra Gorda,"Antofagasta, Chile",Production,,
caserones,Caserones,"Atacama, Chile",Production,,
las-bambas,Las Bambas,"Apurímac, Peru",Production,,
antapaccay,Antapaccay,"Cusco, Peru",Production,,
constancia,Constancia,"Cusco, Peru",Production,,
toromocho,Toromocho,"Junín, Peru",Production,,
cobre-panama,Cobre Panamá,"Colón & Coclé, Panama",Production,,
kansanshi,Kansanshi,"Solwezi, Zambia",Production,,
sentinel,Sentinel,"Kalumbila, Zambia",Production,,
lumwana,Lumwana,"North-Western, Zambia",Production,,
tenke-fungurume,Tenke Fungurume,"Lualaba, DRC",Production,,
salobo,Salobo,"Pará, Brazil",Production,,
sossego,Sossego,"Pará, Brazil",Production,,
highland-valley-copper,Highland Valley Copper,"British Columbia, Canada",Production,,
red-chris,Red Chris,"British Columbia, Canada",Production,,
mount-milligan,Mount Milligan,"British Columbia, Canada",Production,,
copper-mountain,Copper Mountain,"British Columbia, Canada",Production,,
aktogay,Aktogay,"East Kazakhstan, Kazakhstan",Production,,
bozshakol,Bozshakol,"Pavlodar, Kazakhstan",Production,,
dexing,Dexing,"Jiangxi, China",Production,,
northparkes,Northparkes,"New South Wales, Australia",Production,,
