id,company_name,mine_id,percent
261,Codelco,chuquicamata,100
262,Codelco,radomiro-tomic,100
263,Codelco,ministro-hales,100
264,Codelco,el-teniente,100
265,Codelco,andina,100
266,Teck Resources,quebrada-blanca-phase-2,60
267,Sumitomo Consortium,quebrada-blanca-phase-2,30
268,ENAMI,quebrada-blanca-phase-2,10
269,Antofagasta Minerals,los-pelambres,60
270,Japanese Consortium,los-pelambres,40
271,Antofagasta Minerals,centinela,70
272,Marubeni,centinela,30
273,Antofagasta Minerals,zaldívar,50
274,Barrick Gold,zaldívar,50
275,KGHM,sierra-gorda,55
276,Sumitomo Consortium,sierra-gorda,45
277,Lundin Mining,caserones,51
278,JX Nippon Copper & Metals,caserones,49
279,MMG,las-bambas,62.5
280,Guoxin International Investment,las-bambas,22.5
281,CITIC Metal,las-bambas,15
282,Glencore,antapaccay,100
283,Hudbay,constancia,100
284,Chinalco,toromocho,100
285,First Quantum Minerals,cobre-panama,90
286,KPMC (KORES consortium),cobre-panama,10
287,First Quantum Minerals,kansanshi,80
288,ZCCM-IH,kansanshi,20
289,First Quantum Minerals,sentinel,100
290,Barrick Gold,lumwana,100
291,CMOC Group,tenke-fungurume,80
292,Gecamines,tenke-fungurume,20
293,Vale,salobo,100
294,Vale,sossego,100
295,Teck Resources,highland-valley-copper,100
296,Newmont,red-chris,70
297,Imperial Metals,red-chris,30
298,Centerra Gold,mount-milligan,100
299,Hudbay,copper-mountain,100
300,KAZ Minerals,aktogay,100
301,KAZ Minerals,bozshakol,100
302,Jiangxi Copper,dexing,100
303,CMOC Group,northparkes,80
304,Sumitomo Group,northparkes,20
